Date,Company,earnings_summary,Source
09-04-2015,TCS,"TCS reported steady quarterly performance with moderate revenue growth driven by strong demand from global clients, particularly in BFSI and retail sectors. The company maintained industry-leading operating margins supported by cost discipline and efficient delivery models. However, growth showed signs of moderation due to global macro uncertainties and currency fluctuations impacting client spending. Digital services were still in early stages but management highlighted increasing investments in cloud, analytics, and automation to prepare for future demand. Deal pipeline remained strong, with consistent large contract wins supporting revenue visibility. Employee utilization and productivity remained stable, while attrition levels were under control. Overall, the quarter reflected TCS’s position as a stable and highly profitable IT services leader, maintaining consistent growth despite emerging global headwinds and transition toward new technology-driven services.",Company Filings / Reuters
15-01-2016,TCS,"TCS reported strong earnings growth with stable revenue expansion supported by continued demand for outsourcing and IT services across global markets. The company maintained high operating margins through cost optimization and efficient project execution. Digital services began contributing meaningfully to growth, with increasing client demand for cloud, automation, and analytics solutions. However, management highlighted pricing pressures in traditional IT services due to automation trends. The deal pipeline remained robust, with strong order bookings ensuring future revenue visibility. Employee headcount increased steadily, reflecting business expansion, while productivity improvements helped maintain margins. Overall, the quarter demonstrated TCS’s ability to adapt to evolving technology trends while sustaining strong financial performance and maintaining leadership in the global IT services industry. (CompaniesMarketCap)",Economic Times
15-01-2016,INFY,"INFY reported steady quarterly performance with moderate revenue growth supported by strong demand from global clients, particularly in BFSI and retail sectors. Net profit increased year-on-year, reflecting stable operating margins and efficient cost management. The company continued to focus on large deal wins, ensuring strong revenue visibility. However, management highlighted emerging challenges from global macroeconomic uncertainty and pricing pressure in traditional IT services. Digital services such as cloud, analytics, and automation started gaining traction, though still a smaller share of total revenue. Employee productivity remained stable, while attrition was under control. Overall, the quarter reflected a stable performance phase, with INFY maintaining consistent profitability while gradually transitioning toward digital services to adapt to evolving client requirements. (Reuters)",Reuters / Company Filings
16-01-2016,HDFC Bank,"HDFC Bank reported strong quarterly performance with consistent growth in net profit driven by steady loan expansion and stable net interest margins. The bank continued to focus on retail lending, which remained the key growth driver, while maintaining disciplined risk management practices. Asset quality remained significantly better than industry peers, with low levels of non-performing assets despite rising stress across the broader banking sector. Management emphasized conservative provisioning and strong balance sheet resilience. Deposit growth remained stable, supported by a high CASA ratio, ensuring low-cost funding advantage. The bank continued investing in digital banking capabilities and branch expansion, particularly in semi-urban and rural areas. Overall, the quarter reflected HDFC Bank’s ability to deliver predictable earnings growth, strong asset quality, and operational efficiency, reinforcing its position as a leading private sector lender during a challenging macro environment.",Reuters / Company Filings
19-01-2016,Reliance Industries,"Reliance Industries reported strong quarterly earnings supported by robust performance in its refining and petrochemical businesses. Net profit increased driven by higher refining margins and improved operational efficiency. The company benefited from favorable global crude price dynamics, which supported margins in its core oil-to-chemicals segment. However, capital expenditure remained elevated due to ongoing investments in its telecom venture, Jio, which was nearing commercial launch. Management highlighted strong cash flows from core businesses, which were being reinvested into future growth areas. Retail business also showed steady expansion, contributing to diversification. Overall, the quarter reflected a stable performance from traditional energy segments while the company prepared for a major strategic shift toward telecom and digital services, supported by significant investments and long-term growth vision. (Moneycontrol)",Reuters / Company Filings
23-04-2016,HDFC Bank,"HDFC Bank posted another quarter of stable earnings growth, supported by strong net interest income and improving fee-based income streams. Retail loans continued to dominate the portfolio, contributing to steady margin expansion. The bank maintained tight control over asset quality, with gross NPAs remaining low compared to industry averages. Management highlighted cautious lending to corporate segments, focusing instead on granular retail lending to reduce risk concentration. Operating efficiency remained strong, with controlled cost-to-income ratio and steady expansion in branch network. The bank also strengthened its digital infrastructure to enhance customer acquisition and transaction volumes. Despite macroeconomic uncertainty and stress in the banking system, HDFC Bank continued to demonstrate resilience, supported by its conservative business model and strong underwriting standards, ensuring consistent profitability and long-term growth visibility.",Business Standard
29-04-2016,Reliance Industries,"Reliance Industries reported steady earnings growth with strong contribution from refining and petrochemicals, while retail business continued to expand rapidly. Profitability remained stable, supported by operational efficiencies and favorable product margins. However, overall return ratios were impacted by heavy investments in Jio, reflecting a transition phase in the business model. Management emphasized that telecom operations would play a significant role in future growth, with large-scale infrastructure and spectrum investments nearing completion. The company continued to maintain strong balance sheet strength despite high capital expenditure. Overall, the quarter reflected a mix of stable legacy business performance and strategic investment-driven pressure, as Reliance positioned itself for entry into the digital and telecom space.",Economic Times
30-04-2016,ICICI Bank,"ICICI Bank reported moderate quarterly performance with pressure on profitability due to rising provisions for bad loans. Corporate lending stress continued to impact asset quality, with increasing non-performing assets reflecting broader challenges in India’s banking sector. Net interest income showed stable growth, but margins remained under pressure. The bank continued to focus on expanding its retail loan portfolio to balance risks associated with corporate exposure. Management emphasized cautious lending practices and strengthening of provisioning buffers to manage potential credit losses. Operational efficiency remained stable, though profitability was affected by higher credit costs. Overall, the quarter reflected early signs of stress in the bank’s balance sheet, with asset quality concerns beginning to dominate performance despite stable core income growth.",Reuters
15-07-2016,INFY,"INFY reported strong revenue growth driven by robust demand across key markets, with revenues rising significantly year-on-year. Operating margins remained stable, supported by cost control and efficient delivery models. Digital services continued to gain momentum, contributing increasingly to new deal wins. However, management noted early signs of pricing pressure in legacy outsourcing services due to automation trends. The company maintained a strong deal pipeline and continued to invest in technology capabilities to support digital transformation. Despite global uncertainty, INFY demonstrated resilience with steady earnings growth and stable profitability. Overall, the quarter reflected a balanced performance with gradual shift toward higher-value services while maintaining stability in core operations. (INFY)",Economic Times
13-01-2017,INFY,"INFY reported steady earnings with moderate growth as global IT spending remained cautious. Digital services emerged as a key growth driver, contributing significantly to revenue and deal wins. However, traditional services faced slower growth due to automation and changing client preferences. Operating margins remained stable, supported by cost optimization initiatives. Management emphasized strong pipeline of large deals and continued investment in digital capabilities. The company maintained strong cash flows and shareholder returns. Overall, the quarter reflected a transition phase, where INFY was gradually shifting from traditional outsourcing to digital-led growth while maintaining financial stability.",Business Standard
14-01-2017,HDFC Bank,"HDFC Bank reported robust quarterly earnings following the demonetisation period, benefiting from a surge in deposits and increased liquidity across the banking system. Net interest income grew steadily, supported by strong loan growth and improved funding base. The bank saw a significant increase in CASA deposits, enhancing its cost of funds advantage. Asset quality remained stable despite sector-wide stress, reflecting disciplined credit practices. Management highlighted increased adoption of digital banking and electronic transactions following demonetisation, positioning the bank strongly for long-term structural shifts toward formal banking. Retail lending continued to drive growth, while corporate exposure remained carefully managed. Overall, the quarter demonstrated HDFC Bank’s ability to convert macro disruption into opportunity, strengthening its balance sheet and reinforcing its leadership in India’s private banking sector. (Wikipedia)",Economic Times
18-04-2017,TCS,"TCS reported steady performance with moderate revenue growth as global IT spending remained cautious. Digital services emerged as a key growth driver, contributing significantly to new deal wins and client engagements. Traditional services experienced slower growth due to automation and changing client requirements. Operating margins remained stable, supported by cost control and operational efficiency. Management emphasized strong deal pipeline and increasing adoption of digital transformation projects across industries. The company continued to invest in talent and technology capabilities to strengthen its digital portfolio. Overall, the quarter reflected a transition phase where TCS was gradually shifting from traditional outsourcing to digital-led growth, maintaining stability while adapting to structural changes in the IT services industry.",Reuters
22-04-2017,HDFC Bank,"HDFC Bank delivered consistent earnings growth with stable margins and strong loan expansion led by retail segments. Net interest income growth remained healthy, supported by steady credit demand and efficient liability management. Asset quality continued to outperform peers, with minimal increase in NPAs despite broader stress in the banking sector. The bank maintained a cautious stance on corporate lending while expanding retail and SME portfolios. Operational efficiency remained strong, supported by controlled costs and improved productivity. Management continued to invest in digital platforms and customer acquisition strategies to enhance long-term growth. The quarter reflected HDFC Bank’s disciplined execution and ability to maintain stability in a challenging environment, reinforcing investor confidence in its consistent performance trajectory.",Reuters
10-07-2017,TCS,"TCS reported stable quarterly earnings with consistent revenue growth supported by strong deal wins and expansion in digital services. The company maintained strong operating margins despite pricing pressures in legacy services. Management highlighted increasing demand for cloud, analytics, and enterprise transformation solutions. The deal pipeline remained healthy, ensuring revenue visibility. Employee utilization improved, contributing to operational efficiency. However, growth remained moderate due to global economic uncertainties and cautious client spending. The company continued to invest in innovation and automation capabilities to stay competitive. Overall, the quarter reflected steady execution and gradual transformation toward digital services, reinforcing TCS’s leadership position in the global IT services market.",Business Standard
21-07-2017,Reliance Industries,"Reliance Industries reported strong earnings with improving contribution from its telecom arm, Jio, which saw rapid subscriber growth after its commercial launch. Core refining and petrochemical businesses continued to deliver stable performance, supporting overall profitability. Jio emerged as a key growth driver, though initial profitability remained modest due to promotional pricing strategies. The company reported strong operating cash flows, enabling continued investments in telecom infrastructure and expansion. Retail business also showed strong growth, benefiting from increased consumer demand. Management highlighted the transformation of Reliance into a consumer-focused and technology-driven company. Overall, the quarter marked a structural shift, with telecom beginning to play a meaningful role alongside traditional energy businesses. (Reliance Industries Limited)",Company Filings
27-07-2017,ICICI Bank,"ICICI Bank reported a decline in quarterly profit due to elevated provisions and rising bad loans in its corporate portfolio. Net profit fell year-on-year, though it slightly exceeded analyst expectations. Gross NPAs increased significantly, highlighting continued stress in large corporate exposures. Retail lending grew steadily, helping partially offset corporate weakness. Management maintained focus on improving asset quality and reducing risk concentration by shifting toward retail and SME segments. The bank also emphasized strengthening its balance sheet through higher provisioning coverage. Operational metrics remained stable, but profitability was impacted by credit costs. Overall, the quarter highlighted ongoing challenges in asset quality and the need for strategic realignment toward safer lending segments. (The Times of India)",Economic Times
18-08-2017,INFY,"INFY reported quarterly performance overshadowed by major governance crisis as CEO Vishal Sikka resigned amid disputes with founders. While financial performance remained stable with steady revenue growth and margins, investor sentiment was impacted significantly. Digital services continued to grow, but uncertainty around leadership raised concerns about strategic direction. Management emphasized continuity of operations and commitment to long-term growth strategy. The company maintained strong deal pipeline and client engagement despite internal challenges. Overall, the quarter reflected operational stability but highlighted governance risks, marking a critical turning point in INFY’s growth trajectory.",Reuters
12-01-2018,INFY,"INFY reported stable earnings under new CEO Salil Parekh, with steady revenue growth and improved client engagement. Digital services continued to expand, contributing significantly to new business. Operating margins remained stable, supported by cost discipline. Management focused on simplifying operations and divesting non-core assets to improve efficiency. Deal pipeline strengthened, with increased large contract wins. Employee attrition remained under control, reflecting improving organizational stability. Overall, the quarter marked the beginning of recovery phase, with INFY stabilizing operations and regaining investor confidence after governance challenges. (INFY)",Company Filings
20-01-2018,HDFC Bank,"HDFC Bank reported strong quarterly earnings with double-digit growth in net profit driven by robust loan growth and stable margins. Retail lending remained the primary growth driver, while corporate lending was selectively expanded. Asset quality remained strong, with low levels of NPAs and adequate provisioning coverage. The bank continued to maintain a high CASA ratio, supporting low-cost funding and margin stability. Management highlighted continued focus on digital banking expansion and operational efficiency improvements. The bank also strengthened its presence in semi-urban and rural markets, capturing new growth opportunities. Overall, the quarter demonstrated HDFC Bank’s ability to sustain high-quality growth, maintain superior asset quality, and deliver consistent financial performance despite sectoral challenges. (HDFC Bank)",Company Filings
19-04-2018,TCS,"TCS reported strong quarterly performance with improved revenue growth driven by robust demand for digital services. Digital revenues contributed significantly to overall growth, reflecting successful transition toward next-generation technologies. Operating margins remained strong despite increased investments in talent and technology. The company reported strong deal wins across geographies, particularly in North America and Europe. Management highlighted increasing client demand for large transformation projects involving cloud, analytics, and automation. Employee headcount increased, supporting business expansion. Overall, the quarter marked a turning point where digital services became a major growth driver, enhancing TCS’s growth trajectory and strengthening its competitive position in the evolving IT services landscape. (Tata Consultancy Services)",Company Filings
27-04-2018,Reliance Industries,"Reliance Industries reported record quarterly profit driven by strong performance in petrochemicals, refining, and significant improvement in telecom and retail segments. Jio achieved profitability in its first full year of operations, supported by rapid subscriber growth and increasing data consumption. Retail business also delivered strong growth with expansion in store network and revenues. Despite high capital expenditure, the company maintained strong cash generation. Management highlighted increasing contribution from consumer-facing businesses, signaling a strategic shift away from pure energy dependence. Overall, the quarter reflected a major inflection point, with telecom and retail emerging as strong growth engines alongside traditional businesses. (The Times of India)",Business Standard / Reuters
13-07-2018,INFY,"INFY reported improved quarterly performance with stronger revenue growth driven by digital services and large deal wins. Operating margins remained stable despite investments in talent and technology. The company continued to strengthen its position in cloud, analytics, and automation services. Management highlighted improved client engagement and stronger pipeline of transformation deals. Cost efficiency initiatives supported profitability. Overall, the quarter reflected a clear recovery trajectory, with INFY regaining growth momentum and executing its digital strategy effectively under new leadership.",Reuters
11-01-2019,INFY,"INFY delivered strong earnings with consistent revenue growth supported by large deal wins and increasing contribution from digital services. Operating margins remained stable, reflecting operational efficiency and cost control. The company benefited from strong demand across key sectors, particularly BFSI. Management emphasized continued focus on digital transformation and innovation. Deal pipeline remained robust, ensuring future growth visibility. Overall, the quarter reflected strong execution and stability, with INFY successfully transitioning into a digital-focused IT services company.",Economic Times
12-01-2019,TCS,"TCS delivered strong earnings with consistent revenue growth and stable margins, supported by large deal wins and expansion in digital services. The company benefited from strong client demand across BFSI, retail, and manufacturing sectors. Digital services continued to grow rapidly, contributing a significant share of revenues. Operating efficiency remained strong, with stable cost structure and improved productivity. Management highlighted strong pipeline of large transformation deals and continued investment in innovation. The company maintained high cash generation and shareholder returns. Overall, the quarter reflected strong execution, stable growth, and increasing dominance in digital transformation services, reinforcing TCS’s position as a global IT leader. (CompaniesMarketCap)",Economic Times
18-01-2019,Reliance Industries,"Reliance Industries reported strong earnings with continued growth in refining and petrochemical segments, while telecom and retail businesses gained further momentum. Jio subscriber base expanded rapidly, contributing significantly to revenue growth, while retail business scaled operations across formats. Operating margins remained stable, supported by diversified business mix. The company continued to invest in digital infrastructure and retail expansion, strengthening its consumer-focused strategy. Management emphasized transformation into a technology and retail-driven conglomerate. Overall, the quarter reflected balanced growth across segments, with increasing contribution from new-age businesses reducing reliance on traditional energy operations.",Reuters
30-01-2019,ICICI Bank,"ICICI Bank reported a decline in quarterly profit, missing analyst expectations due to significantly higher provisions for bad loans. The bank continued to deal with legacy corporate stress, which impacted overall profitability. Asset quality remained under pressure, though management highlighted gradual stabilization in new slippages. Retail lending continued to grow, contributing to revenue stability. The bank maintained strong capital adequacy and liquidity position to absorb potential losses. Management emphasized ongoing efforts to clean up the balance sheet and improve governance following leadership changes. Overall, the quarter reflected a transition phase, with profitability impacted by clean-up measures while underlying business fundamentals showed early signs of stabilization. (Reuters)",Reuters
19-04-2019,Reliance Industries,"Reliance Industries delivered steady earnings growth supported by strong performance in petrochemicals and refining, while Jio and retail segments continued rapid expansion. Telecom revenues improved with higher subscriber base and increasing data usage. Retail business showed strong revenue growth driven by store expansion and consumer demand. The company maintained strong operating cash flows despite ongoing investments. Management highlighted continued focus on scaling consumer businesses and enhancing digital ecosystem. Overall, the quarter reinforced Reliance’s transformation into a diversified conglomerate with multiple growth engines beyond energy.",Business Standard
20-04-2019,HDFC Bank,"HDFC Bank reported steady earnings growth supported by strong net interest income and consistent loan expansion across retail segments. The bank maintained stable margins and continued to benefit from its strong liability franchise. Asset quality remained robust, with minimal slippages and controlled NPAs despite economic slowdown concerns. Management emphasized continued focus on retail lending and risk-adjusted growth strategies. Fee income and digital transactions contributed positively to overall performance. The bank also expanded its distribution network and strengthened its digital capabilities to enhance customer engagement. Overall, the quarter highlighted HDFC Bank’s resilience and ability to maintain stable growth and profitability in a moderating economic environment.",Reuters
20-04-2019,ICICI Bank,"ICICI Bank reported improving performance with better asset quality trends and reduced slippages compared to previous quarters. Net interest income showed steady growth supported by retail loan expansion. Provisions remained elevated but began to stabilize, indicating progress in balance sheet clean-up. Management highlighted improved underwriting standards and stronger risk controls under new leadership. The bank continued to focus on granular retail lending and fee-based income streams. Operational efficiency improved, and investor confidence gradually strengthened. Overall, the quarter marked the beginning of recovery, with improving fundamentals and a clearer strategic direction toward sustainable growth and risk management.",Business Standard
12-07-2019,TCS,"TCS reported steady growth with strong performance in digital services, which continued to drive revenue expansion. Traditional IT services showed stable but slower growth due to changing client preferences. Operating margins remained healthy, supported by cost optimization and efficient delivery models. The company reported strong deal wins and a robust pipeline, ensuring future growth visibility. Management emphasized continued investments in digital capabilities and client relationships. Employee metrics remained stable, with controlled attrition and strong productivity. Overall, the quarter reflected a balanced growth trajectory, with digital services leading the transformation while maintaining stability in core operations.",Reuters
10-01-2020,INFY,"INFY reported strong quarterly performance with steady revenue growth and improving margins, driven by strong demand for digital services and large deal wins. The company maintained strong cash flows and operational efficiency. Digital services contributed a significant portion of revenues, reflecting successful strategy execution. Management highlighted continued focus on client engagement and innovation. Overall, the quarter reflected a mature growth phase, with INFY maintaining consistent performance and strengthening its position in global IT services market.",Business Standard
17-01-2020,Reliance Industries,"Reliance Industries reported strong quarterly earnings with significant contribution from telecom and retail segments alongside stable performance in oil-to-chemicals business. Jio continued to expand its subscriber base and improve monetization, while retail business delivered strong growth. The company maintained stable margins despite volatility in global energy markets. Management emphasized continued focus on digital ecosystem and consumer businesses as key growth drivers. Capital expenditure remained high but was supported by strong cash flows. Overall, the quarter reflected a well-diversified growth model, with Reliance successfully transitioning toward a consumer and technology-driven business structure.",Economic Times
18-01-2020,HDFC Bank,"HDFC Bank reported strong quarterly performance with healthy growth in net profit driven by robust loan growth and stable margins. Retail lending continued to dominate, while corporate exposure remained cautiously managed. Asset quality remained strong with low NPAs and adequate provisioning. The bank maintained strong capital adequacy and liquidity position. Management highlighted continued investments in digital banking and customer acquisition. Despite broader economic slowdown, the bank continued to deliver consistent growth supported by its diversified loan portfolio and strong operational efficiency. Overall, the quarter reinforced HDFC Bank’s position as a stable and high-quality banking franchise with predictable earnings visibility.",Economic Times
25-01-2020,ICICI Bank,"ICICI Bank reported strong quarterly earnings with significant improvement in profitability driven by lower provisions and better asset quality. Net interest income grew steadily, supported by strong retail loan growth. Gross NPAs declined, reflecting successful clean-up of the balance sheet. The bank maintained strong capital adequacy and improved return ratios. Management emphasized continued focus on risk-adjusted growth and operational efficiency. Digital banking initiatives gained traction, enhancing customer engagement. Overall, the quarter reflected a clear turnaround, with ICICI Bank transitioning from a stressed balance sheet to a stable and profitable growth trajectory.",Reuters
09-04-2020,TCS,"TCS reported resilient performance despite emerging COVID-19 disruptions, with stable revenue and strong operating margins. The company quickly transitioned to remote working model, ensuring business continuity across global operations. Demand for digital services remained strong, particularly in cloud and remote infrastructure solutions. However, management highlighted uncertainty in client spending due to global economic slowdown. The deal pipeline remained healthy but decision-making cycles lengthened. Cost control measures helped maintain profitability. Overall, the quarter demonstrated TCS’s operational resilience and ability to adapt quickly to unprecedented disruptions while maintaining stable financial performance.",Company Filings
15-04-2020,INFY,"INFY reported resilient performance during the COVID-19 period, with stable revenue and margins despite global disruptions. The company quickly transitioned to remote working model, ensuring business continuity. Demand for digital services remained strong as clients accelerated technology adoption. However, management highlighted uncertainty in client spending and delayed decision-making. Cost control measures supported profitability. Overall, the quarter demonstrated operational resilience and adaptability, with INFY maintaining stability during unprecedented global challenges.",Reuters
30-04-2020,Reliance Industries,"Reliance Industries reported resilient performance during COVID-19 disruptions, supported by strong growth in telecom and retail segments, which offset weakness in oil-to-chemicals business due to lower demand and crude price volatility. Jio continued to see strong subscriber additions and data usage growth, while retail adapted through digital channels. The company raised significant capital through stake sales in Jio Platforms, strengthening its balance sheet and reducing debt. Management highlighted strategic focus on deleveraging and accelerating digital transformation. Overall, the quarter reflected resilience and strategic execution, with Reliance leveraging its diversified business model to navigate economic uncertainty while strengthening its long-term growth position. (Reliance Industries Limited)",Reuters / Company Filings
09-07-2020,TCS,"TCS reported stable earnings during peak COVID-19 impact, with modest revenue growth and strong margin performance. Digital services demand increased significantly as clients accelerated technology adoption. However, traditional services faced slowdown due to reduced discretionary spending. The company maintained strong cash flows and operational efficiency. Management highlighted cautious outlook due to global uncertainty but expressed confidence in long-term digital demand. Workforce transitioned largely to remote model, ensuring continuity. Overall, the quarter reflected resilience and adaptability, with TCS maintaining stability despite global disruptions and positioning itself for recovery driven by digital transformation demand. (Tata Consultancy Services)",Reuters
